run_id,phase,order,model,task,replicate,paraphrase,prompt_file,bundle_file,raw_file,วันเวลาเริ่ม,วันเวลาจบ,ชื่อรุ่นบนหน้าจอ,ค่าตั้งต้นที่หน้าจอแสดง,ไฟล์แคปหน้าจอ,แชตใหม่,ปิด memory,ปิด custom instructions,ปิด web search และ tools,ใช้คำสั่งขอให้พิมพ์ต่อ,ผลถูกตัดกลางคัน,หมายเหตุเหตุการณ์ผิดปกติ
R002,จริง,2,ChatGPT,T6,3,3,C_prompts_v1.md § T6-P3,data/task_bundle_T6.md,raw/R002_ChatGPT_T6_rep3.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R003,จริง,3,Gemini,T6,3,3,C_prompts_v1.md § T6-P3,data/task_bundle_T6.md,raw/R003_Gemini_T6_rep3.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R004,จริง,4,Claude,T6,3,3,C_prompts_v1.md § T6-P3,data/task_bundle_T6.md,raw/R004_Claude_T6_rep3.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R005,จริง,5,Claude,T2,1,1,C_prompts_v1.md § T2-P1,data/task_bundle_T2.md,raw/R005_Claude_T2_rep1.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R006,จริง,6,ChatGPT,T2,1,1,C_prompts_v1.md § T2-P1,data/task_bundle_T2.md,raw/R006_ChatGPT_T2_rep1.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R007,จริง,7,Gemini,T2,1,1,C_prompts_v1.md § T2-P1,data/task_bundle_T2.md,raw/R007_Gemini_T2_rep1.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R009,จริง,9,Claude,T5,2,2,C_prompts_v1.md § T5-P2,data/task_bundle_T5.md,raw/R009_Claude_T5_rep2.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R010,จริง,10,Gemini,T5,2,2,C_prompts_v1.md § T5-P2,data/task_bundle_T5.md,raw/R010_Gemini_T5_rep2.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R011,จริง,11,ChatGPT,T5,2,2,C_prompts_v1.md § T5-P2,data/task_bundle_T5.md,raw/R011_ChatGPT_T5_rep2.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R013,จริง,13,ChatGPT,T5,1,1,C_prompts_v1.md § T5-P1,data/task_bundle_T5.md,raw/R013_ChatGPT_T5_rep1.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R014,จริง,14,Claude,T5,1,1,C_prompts_v1.md § T5-P1,data/task_bundle_T5.md,raw/R014_Claude_T5_rep1.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R016,จริง,16,Gemini,T5,1,1,C_prompts_v1.md § T5-P1,data/task_bundle_T5.md,raw/R016_Gemini_T5_rep1.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R017,จริง,17,Claude,T4,1,1,C_prompts_v1.md § T4-P1,data/task_bundle_T4.md,raw/R017_Claude_T4_rep1.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R018,จริง,18,ChatGPT,T4,1,1,C_prompts_v1.md § T4-P1,data/task_bundle_T4.md,raw/R018_ChatGPT_T4_rep1.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R020,จริง,20,Gemini,T4,1,1,C_prompts_v1.md § T4-P1,data/task_bundle_T4.md,raw/R020_Gemini_T4_rep1.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R021,จริง,21,Gemini,T3,1,1,C_prompts_v1.md § T3-P1,data/task_bundle_T3.md,raw/R021_Gemini_T3_rep1.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R022,จริง,22,ChatGPT,T3,1,1,C_prompts_v1.md § T3-P1,data/task_bundle_T3.md,raw/R022_ChatGPT_T3_rep1.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R024,จริง,24,Claude,T3,1,1,C_prompts_v1.md § T3-P1,data/task_bundle_T3.md,raw/R024_Claude_T3_rep1.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R025,จริง,25,ChatGPT,T2,3,3,C_prompts_v1.md § T2-P3,data/task_bundle_T2.md,raw/R025_ChatGPT_T2_rep3.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R026,จริง,26,Gemini,T2,3,3,C_prompts_v1.md § T2-P3,data/task_bundle_T2.md,raw/R026_Gemini_T2_rep3.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R027,จริง,27,Claude,T2,3,3,C_prompts_v1.md § T2-P3,data/task_bundle_T2.md,raw/R027_Claude_T2_rep3.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R029,จริง,29,Claude,T6,2,2,C_prompts_v1.md § T6-P2,data/task_bundle_T6.md,raw/R029_Claude_T6_rep2.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R030,จริง,30,ChatGPT,T6,2,2,C_prompts_v1.md § T6-P2,data/task_bundle_T6.md,raw/R030_ChatGPT_T6_rep2.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R031,จริง,31,Gemini,T6,2,2,C_prompts_v1.md § T6-P2,data/task_bundle_T6.md,raw/R031_Gemini_T6_rep2.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R033,จริง,33,ChatGPT,T3,3,3,C_prompts_v1.md § T3-P3,data/task_bundle_T3.md,raw/R033_ChatGPT_T3_rep3.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R034,จริง,34,Claude,T3,3,3,C_prompts_v1.md § T3-P3,data/task_bundle_T3.md,raw/R034_Claude_T3_rep3.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R035,จริง,35,Gemini,T3,3,3,C_prompts_v1.md § T3-P3,data/task_bundle_T3.md,raw/R035_Gemini_T3_rep3.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R037,จริง,37,Gemini,T6,1,1,C_prompts_v1.md § T6-P1,data/task_bundle_T6.md,raw/R037_Gemini_T6_rep1.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R038,จริง,38,Claude,T6,1,1,C_prompts_v1.md § T6-P1,data/task_bundle_T6.md,raw/R038_Claude_T6_rep1.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R040,จริง,40,ChatGPT,T6,1,1,C_prompts_v1.md § T6-P1,data/task_bundle_T6.md,raw/R040_ChatGPT_T6_rep1.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R041,จริง,41,ChatGPT,T4,3,3,C_prompts_v1.md § T4-P3,data/task_bundle_T4.md,raw/R041_ChatGPT_T4_rep3.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R042,จริง,42,Claude,T4,3,3,C_prompts_v1.md § T4-P3,data/task_bundle_T4.md,raw/R042_Claude_T4_rep3.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R043,จริง,43,Gemini,T4,3,3,C_prompts_v1.md § T4-P3,data/task_bundle_T4.md,raw/R043_Gemini_T4_rep3.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R046,จริง,46,Gemini,T4,2,2,C_prompts_v1.md § T4-P2,data/task_bundle_T4.md,raw/R046_Gemini_T4_rep2.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R047,จริง,47,ChatGPT,T4,2,2,C_prompts_v1.md § T4-P2,data/task_bundle_T4.md,raw/R047_ChatGPT_T4_rep2.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R048,จริง,48,Claude,T4,2,2,C_prompts_v1.md § T4-P2,data/task_bundle_T4.md,raw/R048_Claude_T4_rep2.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R049,จริง,49,Gemini,T3,2,2,C_prompts_v1.md § T3-P2,data/task_bundle_T3.md,raw/R049_Gemini_T3_rep2.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R050,จริง,50,Claude,T3,2,2,C_prompts_v1.md § T3-P2,data/task_bundle_T3.md,raw/R050_Claude_T3_rep2.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R051,จริง,51,ChatGPT,T3,2,2,C_prompts_v1.md § T3-P2,data/task_bundle_T3.md,raw/R051_ChatGPT_T3_rep2.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R053,จริง,53,ChatGPT,T1,2,2,C_prompts_v1.md § T1-P2,data/task_bundle_T1.md,raw/R053_ChatGPT_T1_rep2.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R054,จริง,54,Claude,T1,2,2,C_prompts_v1.md § T1-P2,data/task_bundle_T1.md,raw/R054_Claude_T1_rep2.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R055,จริง,55,Gemini,T1,2,2,C_prompts_v1.md § T1-P2,data/task_bundle_T1.md,raw/R055_Gemini_T1_rep2.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R057,จริง,57,Claude,T2,2,2,C_prompts_v1.md § T2-P2,data/task_bundle_T2.md,raw/R057_Claude_T2_rep2.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R058,จริง,58,ChatGPT,T2,2,2,C_prompts_v1.md § T2-P2,data/task_bundle_T2.md,raw/R058_ChatGPT_T2_rep2.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R060,จริง,60,Gemini,T2,2,2,C_prompts_v1.md § T2-P2,data/task_bundle_T2.md,raw/R060_Gemini_T2_rep2.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R061,จริง,61,Gemini,T5,3,3,C_prompts_v1.md § T5-P3,data/task_bundle_T5.md,raw/R061_Gemini_T5_rep3.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R062,จริง,62,Claude,T5,3,3,C_prompts_v1.md § T5-P3,data/task_bundle_T5.md,raw/R062_Claude_T5_rep3.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R063,จริง,63,ChatGPT,T5,3,3,C_prompts_v1.md § T5-P3,data/task_bundle_T5.md,raw/R063_ChatGPT_T5_rep3.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R065,จริง,65,Claude,T1,1,1,C_prompts_v1.md § T1-P1,data/task_bundle_T1.md,raw/R065_Claude_T1_rep1.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R067,จริง,67,ChatGPT,T1,1,1,C_prompts_v1.md § T1-P1,data/task_bundle_T1.md,raw/R067_ChatGPT_T1_rep1.txt,,,GPT-5.6,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R068,จริง,68,Gemini,T1,1,1,C_prompts_v1.md § T1-P1,data/task_bundle_T1.md,raw/R068_Gemini_T1_rep1.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R069,จริง,69,Gemini,T1,3,3,C_prompts_v1.md § T1-P3,data/task_bundle_T1.md,raw/R069_Gemini_T1_rep3.txt,,,Gemini 3.5 Flash-Lite,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
R071,จริง,71,Claude,T1,3,3,C_prompts_v1.md § T1-P3,data/task_bundle_T1.md,raw/R071_Claude_T1_rep3.txt,,,sonnet 5,,,ใช่,ใช่,ใช่,ใช่,0,ไม่,
