item_id,run_id,model,task,doc_id,trap_type,trap_hit
H001,R031,Gemini,T6,D131,NO_EVIDENCE,0
H002,R007,Gemini,T2,D050,INCORRECT_UNIT,0
H003,R054,Claude,T1,D016,DISGUISED_MISSING,0
H004,R006,ChatGPT,T2,D040,DUPLICATE_ROW,1
H005,R055,Gemini,T1,D002,MISSING_VALUE,0
H006,R069,Gemini,T1,D014,MISSING_VALUE,1
H007,R067,ChatGPT,T1,D018,DISGUISED_MISSING,0
H008,R069,Gemini,T1,D030,DISGUISED_MISSING,0
H009,R047,ChatGPT,T4,D094,DELIMITER_SPLIT,0
H010,R016,Gemini,T5,D115,STAT_OUTLIER,1
H011,R068,Gemini,T1,D020,DISGUISED_MISSING,0
H012,R060,Gemini,T2,D043,DUPLICATE_ROW,1
H013,R063,ChatGPT,T5,D107,STAT_OUTLIER,0
H014,R040,ChatGPT,T6,D120,NO_EVIDENCE,0
H015,R003,Gemini,T6,D124,NO_EVIDENCE,0
H016,R025,ChatGPT,T2,D043,DUPLICATE_ROW,1
H017,R055,Gemini,T1,D022,DISGUISED_MISSING,0
H018,R024,Claude,T3,D075,BAIT_NO_NUMBER,0
H019,R026,Gemini,T2,D051,INCORRECT_UNIT,0
H020,R069,Gemini,T1,D011,MISSING_VALUE,1
H021,R061,Gemini,T5,D111,STAT_OUTLIER,1
H022,R072,ChatGPT,T1,D007,MISSING_VALUE,0
H023,R030,ChatGPT,T6,D146,TEXT_NUMBER_CONFLICT,1
H024,R069,Gemini,T1,D013,MISSING_VALUE,1
H025,R026,Gemini,T2,D054,INCORRECT_UNIT,0
H026,R018,ChatGPT,T4,D089,DELIMITER_SPLIT,0
H027,R051,ChatGPT,T3,D080,BAIT_NO_NUMBER,0
H028,R037,Gemini,T6,D123,NO_EVIDENCE,0
H029,R011,ChatGPT,T5,D115,STAT_OUTLIER,0
H030,R060,Gemini,T2,D040,DUPLICATE_ROW,1
H031,R003,Gemini,T6,D138,TEXT_NUMBER_CONFLICT,1
H032,R002,ChatGPT,T6,D118,NO_EVIDENCE,0
H033,R018,ChatGPT,T4,D087,DELIMITER_SPLIT,0
H034,R034,Claude,T3,D070,BAIT_NO_NUMBER,0
H035,R020,Gemini,T4,D091,DELIMITER_SPLIT,0
H036,R016,Gemini,T5,D109,STAT_OUTLIER,1
H037,R057,Claude,T2,D060,INCORRECT_UNIT,0
H038,R031,Gemini,T6,D141,TEXT_NUMBER_CONFLICT,1
H039,R030,ChatGPT,T6,D131,NO_EVIDENCE,0
H040,R010,Gemini,T5,D113,STAT_OUTLIER,0
H041,R009,Claude,T5,D107,STAT_OUTLIER,0
H042,R031,Gemini,T6,D143,TEXT_NUMBER_CONFLICT,1
H043,R031,Gemini,T6,D139,TEXT_NUMBER_CONFLICT,1
H044,R072,ChatGPT,T1,D005,MISSING_VALUE,0
H045,R025,ChatGPT,T2,D054,INCORRECT_UNIT,0
H046,R029,Claude,T6,D132,NO_EVIDENCE,0
H047,R027,Claude,T2,D063,INCORRECT_UNIT,0
H048,R040,ChatGPT,T6,D143,TEXT_NUMBER_CONFLICT,0
H049,R002,ChatGPT,T6,D131,NO_EVIDENCE,0
H050,R034,Claude,T3,D067,BAIT_NO_NUMBER,0
H051,R065,Claude,T1,D024,DISGUISED_MISSING,0
H052,R069,Gemini,T1,D018,DISGUISED_MISSING,0
H053,R047,ChatGPT,T4,D089,DELIMITER_SPLIT,0
H054,R049,Gemini,T3,D074,BAIT_NO_NUMBER,0
H055,R007,Gemini,T2,D061,INCORRECT_UNIT,0
H056,R049,Gemini,T3,D077,BAIT_NO_NUMBER,0
H057,R004,Claude,T6,D118,NO_EVIDENCE,0
H058,R027,Claude,T2,D046,DUPLICATE_ROW,1
H059,R040,ChatGPT,T6,D121,NO_EVIDENCE,0
H060,R046,Gemini,T4,D098,DELIMITER_SPLIT,0
H061,R069,Gemini,T1,D001,MISSING_VALUE,1
H062,R068,Gemini,T1,D005,MISSING_VALUE,1
H063,R003,Gemini,T6,D143,TEXT_NUMBER_CONFLICT,1
H064,R060,Gemini,T2,D035,DUPLICATE_ROW,1
H065,R004,Claude,T6,D119,NO_EVIDENCE,0
H066,R034,Claude,T3,D078,BAIT_NO_NUMBER,0
H067,R014,Claude,T5,D101,STAT_OUTLIER,0
H068,R038,Claude,T6,D122,NO_EVIDENCE,0
H069,R006,ChatGPT,T2,D062,INCORRECT_UNIT,0
H070,R029,Claude,T6,D138,TEXT_NUMBER_CONFLICT,0
H071,R020,Gemini,T4,D094,DELIMITER_SPLIT,0
H072,R035,Gemini,T3,D071,BAIT_NO_NUMBER,1
H073,R003,Gemini,T6,D128,NO_EVIDENCE,0
H074,R002,ChatGPT,T6,D124,NO_EVIDENCE,0
