doc_id,task,row_key,column,field_type,value_correct
D001,T1,2567-พช-757,รหัสกิจกรรม,ข้อความ,2567-พช-757
D001,T1,2567-พช-757,ชื่อกิจกรรม,ข้อความ,กิจกรรมสำรวจข้อมูลถนนสายหลักในเขตพื้นที่
D001,T1,2567-พช-757,หน่วยงานรับผิดชอบ,ข้อความ,สำนักงานปศุสัตว์อำเภอวังน้ำเขียว
D001,T1,2567-พช-757,งบจัดสรร,เงินบาท,307000
D001,T1,2567-พช-757,เบิกจ่าย,เงินบาท,0
D001,T1,2567-พช-757,จำนวนผู้เข้าร่วม,จำนวนนับ,45
D001,T1,2567-พช-757,กลุ่มเป้าหมาย,รายการ,ผู้ต้องขัง
D001,T1,2567-พช-757,สถานะ,ข้อความ,ยังไม่ดำเนินการ
D001,T1,2567-พช-757,หมายเหตุ,ข้อความ,
D001,T1,2567-ทถ-105,รหัสกิจกรรม,ข้อความ,2567-ทถ-105
D001,T1,2567-ทถ-105,ชื่อกิจกรรม,ข้อความ,กิจกรรมตรวจเยี่ยมการป้องกันโรคไข้เลือดออก
D001,T1,2567-ทถ-105,หน่วยงานรับผิดชอบ,ข้อความ,ปศอ.วังน้ำเขียว
D001,T1,2567-ทถ-105,งบจัดสรร,เงินบาท,439500
D001,T1,2567-ทถ-105,เบิกจ่าย,เงินบาท,253000
D001,T1,2567-ทถ-105,จำนวนผู้เข้าร่วม,จำนวนนับ,111
D001,T1,2567-ทถ-105,กลุ่มเป้าหมาย,รายการ,ประชาชนทั่วไป
D001,T1,2567-ทถ-105,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
D001,T1,2567-ทถ-105,หมายเหตุ,ข้อความ,
D001,T1,2567-กษ-274,รหัสกิจกรรม,ข้อความ,2567-กษ-274
D001,T1,2567-กษ-274,ชื่อกิจกรรม,ข้อความ,โครงการจัดทำแผนกลุ่มวิสาหกิจชุมชน
D001,T1,2567-กษ-274,หน่วยงานรับผิดชอบ,ข้อความ,ปศอ.วังน้ำเขียว
D001,T1,2567-กษ-274,งบจัดสรร,เงินบาท,799500
D001,T1,2567-กษ-274,เบิกจ่าย,เงินบาท,632500
D001,T1,2567-กษ-274,จำนวนผู้เข้าร่วม,จำนวนนับ,142
D001,T1,2567-กษ-274,กลุ่มเป้าหมาย,รายการ,ผู้ประกอบการร้านอาหาร
D001,T1,2567-กษ-274,สถานะ,ข้อความ,ดำเนินการแล้วเสร็จ
