doc_id,task,trap_type,row_key,column,distractor_key,correct,if_trapped,gt_correct_agg,gt_trapped_agg,requires_note,note,sentinel,sentinel_is_numeric,detection_mode,duplicate_of,variant_kind,gt_correct_rowcount,gt_trapped_rowcount,unit_org,gt_correct_share,gt_trapped_share,distractor_value,outlier_value,threshold,_valid,gt_delta_pct
D001,T1,MISSING_VALUE,2567-กษ-552,เบิกจ่าย,2567-พช-757,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1874000.0,1874000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D002,T1,MISSING_VALUE,2567-สค-928,เบิกจ่าย,2567-พช-399,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1023000.0,1023000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D003,T1,MISSING_VALUE,2567-สธ-590,เบิกจ่าย,2567-สค-498,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1933500.0,1933500.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D004,T1,MISSING_VALUE,2567-กษ-532,เบิกจ่าย,2567-ทถ-509,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1551000.0,1551000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D005,T1,MISSING_VALUE,2567-พช-167,เบิกจ่าย,2567-สธ-343,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1166000.0,1166000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D006,T1,MISSING_VALUE,2568-กษ-487,เบิกจ่าย,2568-กษ-376,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1819000.0,1819000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D007,T1,MISSING_VALUE,2568-พช-084,เบิกจ่าย,2568-ศษ-285,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1097000.0,1097000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D008,T1,MISSING_VALUE,2568-ทถ-464,เบิกจ่าย,2568-ทถ-720,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1891000.0,1891000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D009,T1,MISSING_VALUE,2567-พช-486,เบิกจ่าย,2567-สธ-798,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1390000.0,1390000.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
D010,T1,MISSING_VALUE,2568-สธ-653,เบิกจ่าย,2568-กษ-092,ค่าที่แสดงการไม่มีข้อมูล,ค่าตัวเลขใด ๆ,1659500.0,1659500.0,True,sum_excluding เท่ากับ sum_as_zero เชิงเลขคณิต ต้องอาศัยฟิลด์เหตุผล,,,,,,,,,,,,,,,
