run_id,model,task,rep,doc_id,trap_type,parse_status,trap_hit,rules_fired,overmerge,overjudge,false_alarm,oversplit,detected_but_included
R002,ChatGPT,T6,rep3,D118,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D119,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D120,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D121,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D122,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D123,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D124,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D125,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D126,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D127,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D128,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D129,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D130,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D131,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D132,NO_EVIDENCE,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D133,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D134,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D135,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D136,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D137,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D138,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D139,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D140,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D141,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D142,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D143,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D144,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D145,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D146,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R002,ChatGPT,T6,rep3,D147,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R003,Gemini,T6,rep3,D118,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D119,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D120,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D121,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D122,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D123,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D124,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D125,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D126,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D127,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D128,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D129,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D130,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D131,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D132,NO_EVIDENCE,ok,0,,,,,,
R003,Gemini,T6,rep3,D133,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D134,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D135,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D136,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D137,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D138,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D139,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D140,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D141,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D142,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D143,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D144,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D145,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D146,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R003,Gemini,T6,rep3,D147,TEXT_NUMBER_CONFLICT,ok,1,missing_keyword,,,,,
R004,Claude,T6,rep3,D118,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D119,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D120,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D121,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D122,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D123,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D124,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D125,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D126,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D127,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D128,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D129,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D130,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D131,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D132,NO_EVIDENCE,ok,0,,,,,,
R004,Claude,T6,rep3,D133,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D134,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D135,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D136,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D137,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D138,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D139,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D140,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D141,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D142,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D143,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D144,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D145,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D146,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R004,Claude,T6,rep3,D147,TEXT_NUMBER_CONFLICT,ok,0,,,,,,
R005,Claude,T2,rep1,D034,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R005,Claude,T2,rep1,D035,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R005,Claude,T2,rep1,D036,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R005,Claude,T2,rep1,D037,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R005,Claude,T2,rep1,D038,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R005,Claude,T2,rep1,D039,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R005,Claude,T2,rep1,D040,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R005,Claude,T2,rep1,D041,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R005,Claude,T2,rep1,D042,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R005,Claude,T2,rep1,D043,DUPLICATE_ROW,ok,0,,1.0,,,,
R005,Claude,T2,rep1,D044,DUPLICATE_ROW,ok,0,,1.0,,,,
R005,Claude,T2,rep1,D045,DUPLICATE_ROW,ok,0,,1.0,,,,
R005,Claude,T2,rep1,D046,DUPLICATE_ROW,ok,0,,1.0,,,,
R005,Claude,T2,rep1,D047,DUPLICATE_ROW,ok,0,,1.0,,,,
R005,Claude,T2,rep1,D048,DUPLICATE_ROW,ok,0,,1.0,,,,
R005,Claude,T2,rep1,D049,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D050,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D051,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D052,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D053,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D054,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D055,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D056,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D057,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D058,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D059,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D060,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D061,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D062,INCORRECT_UNIT,ok,0,,,,,,
R005,Claude,T2,rep1,D063,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D034,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D035,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D036,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D037,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D038,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D039,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D040,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D041,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D042,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D043,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D044,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D045,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D046,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D047,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D048,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R006,ChatGPT,T2,rep1,D049,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D050,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D051,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D052,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D053,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D054,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D055,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D056,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D057,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D058,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D059,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D060,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D061,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D062,INCORRECT_UNIT,ok,0,,,,,,
R006,ChatGPT,T2,rep1,D063,INCORRECT_UNIT,ok,0,,,,,,
R007,Gemini,T2,rep1,D034,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D035,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D036,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D037,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D038,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D039,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D040,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D041,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D042,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D043,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D044,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D045,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D046,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D047,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D048,DUPLICATE_ROW,ok,1,rowcount_equals_trapped,0.0,,,,
R007,Gemini,T2,rep1,D049,INCORRECT_UNIT,ok,0,,,,,,
R007,Gemini,T2,rep1,D050,INCORRECT_UNIT,ok,0,,,,,,
R007,Gemini,T2,rep1,D051,INCORRECT_UNIT,ok,0,,,,,,
R007,Gemini,T2,rep1,D052,INCORRECT_UNIT,ok,0,,,,,,
R007,Gemini,T2,rep1,D053,INCORRECT_UNIT,ok,0,,,,,,
R007,Gemini,T2,rep1,D054,INCORRECT_UNIT,ok,0,,,,,,
R007,Gemini,T2,rep1,D055,INCORRECT_UNIT,ok,0,,,,,,
R007,Gemini,T2,rep1,D056,INCORRECT_UNIT,ok,0,,,,,,
