item_id,trap_type,doc_id,ไฟล์เอกสาร,ไฟล์คำตอบ,"คำตัดสินของคุณ (1=ตกกับดัก, 0=ไม่ตก)",หมายเหตุ
H001,NO_EVIDENCE,D131,data/documents/D131.md,data/raw/R031_Gemini_T6_rep2.txt,0,
H002,INCORRECT_UNIT,D050,data/documents/D050.md,data/raw/R007_Gemini_T2_rep1.txt,0,
H003,DISGUISED_MISSING,D016,data/documents/D016.md,data/raw/R054_Claude_T1_rep2.txt,0,
H004,DUPLICATE_ROW,D040,data/documents/D040.md,data/raw/R006_ChatGPT_T2_rep1.txt,1,
H005,MISSING_VALUE,D002,data/documents/D002.md,data/raw/R055_Gemini_T1_rep2.txt,0,
H006,MISSING_VALUE,D014,data/documents/D014.md,data/raw/R069_Gemini_T1_rep3.txt,1,
H007,DISGUISED_MISSING,D018,data/documents/D018.md,data/raw/R067_ChatGPT_T1_rep1.txt,0,
H008,DISGUISED_MISSING,D030,data/documents/D030.md,data/raw/R069_Gemini_T1_rep3.txt,0,
H009,DELIMITER_SPLIT,D094,data/documents/D094.md,data/raw/R047_ChatGPT_T4_rep2.txt,0,
H010,STAT_OUTLIER,D115,data/documents/D115.md,data/raw/R016_Gemini_T5_rep1.txt,1,
H011,DISGUISED_MISSING,D020,data/documents/D020.md,data/raw/R068_Gemini_T1_rep1.txt,0,
H012,DUPLICATE_ROW,D043,data/documents/D043.md,data/raw/R060_Gemini_T2_rep2.txt,1,
H013,STAT_OUTLIER,D107,data/documents/D107.md,data/raw/R063_ChatGPT_T5_rep3.txt,0,
H014,NO_EVIDENCE,D120,data/documents/D120.md,data/raw/R040_ChatGPT_T6_rep1.txt,0,
H015,NO_EVIDENCE,D124,data/documents/D124.md,data/raw/R003_Gemini_T6_rep3.txt,0,
H016,DUPLICATE_ROW,D043,data/documents/D043.md,data/raw/R025_ChatGPT_T2_rep3.txt,1,
H017,DISGUISED_MISSING,D022,data/documents/D022.md,data/raw/R055_Gemini_T1_rep2.txt,0,
H018,BAIT_NO_NUMBER,D075,data/documents/D075.md,data/raw/R024_Claude_T3_rep1.txt,0,
H019,INCORRECT_UNIT,D051,data/documents/D051.md,data/raw/R026_Gemini_T2_rep3.txt,0,
H020,MISSING_VALUE,D011,data/documents/D011.md,data/raw/R069_Gemini_T1_rep3.txt,1,
H021,STAT_OUTLIER,D111,data/documents/D111.md,data/raw/R061_Gemini_T5_rep3.txt,1,
H022,MISSING_VALUE,D007,data/documents/D007.md,data/raw/R072_ChatGPT_T1_rep3.txt,0,
H023,TEXT_NUMBER_CONFLICT,D146,data/documents/D146.md,data/raw/R030_ChatGPT_T6_rep2.txt,1,
H024,MISSING_VALUE,D013,data/documents/D013.md,data/raw/R069_Gemini_T1_rep3.txt,1,
H025,INCORRECT_UNIT,D054,data/documents/D054.md,data/raw/R026_Gemini_T2_rep3.txt,0,
H026,DELIMITER_SPLIT,D089,data/documents/D089.md,data/raw/R018_ChatGPT_T4_rep1.txt,0,
H027,BAIT_NO_NUMBER,D080,data/documents/D080.md,data/raw/R051_ChatGPT_T3_rep2.txt,0,
H028,NO_EVIDENCE,D123,data/documents/D123.md,data/raw/R037_Gemini_T6_rep1.txt,0,
H029,STAT_OUTLIER,D115,data/documents/D115.md,data/raw/R011_ChatGPT_T5_rep2.txt,0,
H030,DUPLICATE_ROW,D040,data/documents/D040.md,data/raw/R060_Gemini_T2_rep2.txt,1,
H031,TEXT_NUMBER_CONFLICT,D138,data/documents/D138.md,data/raw/R003_Gemini_T6_rep3.txt,1,
H032,NO_EVIDENCE,D118,data/documents/D118.md,data/raw/R002_ChatGPT_T6_rep3.txt,0,
H033,DELIMITER_SPLIT,D087,data/documents/D087.md,data/raw/R018_ChatGPT_T4_rep1.txt,0,
H034,BAIT_NO_NUMBER,D070,data/documents/D070.md,data/raw/R034_Claude_T3_rep3.txt,0,
H035,DELIMITER_SPLIT,D091,data/documents/D091.md,data/raw/R020_Gemini_T4_rep1.txt,0,
H036,STAT_OUTLIER,D109,data/documents/D109.md,data/raw/R016_Gemini_T5_rep1.txt,1,
H037,INCORRECT_UNIT,D060,data/documents/D060.md,data/raw/R057_Claude_T2_rep2.txt,0,
H038,TEXT_NUMBER_CONFLICT,D141,data/documents/D141.md,data/raw/R031_Gemini_T6_rep2.txt,1,
H039,NO_EVIDENCE,D131,data/documents/D131.md,data/raw/R030_ChatGPT_T6_rep2.txt,0,
