run_id,model,task,rep,bytes,เป็นสำเนา prompt,parse,แถวกิจกรรม,รายการเอกสาร,แถวที่ควรได้,เอกสารที่ควรได้,ใช้ได้,ความครบ%
R002,ChatGPT,T6,rep3,38263,False,ok,0,33,212,33,True,100
R003,Gemini,T6,rep3,38761,False,ok,0,33,212,33,True,100
R004,Claude,T6,rep3,45902,False,ok,0,33,212,33,True,100
R005,Claude,T2,rep1,36477,False,ok,78,0,248,33,True,31
R006,ChatGPT,T2,rep1,122771,False,ok,249,33,248,33,True,100
R007,Gemini,T2,rep1,94051,False,ok,248,33,248,33,True,100
R009,Claude,T5,rep2,42127,False,ok,107,0,107,17,True,100
R010,Gemini,T5,rep2,81691,False,ok,107,0,107,17,True,100
R011,ChatGPT,T5,rep2,62950,False,ok,107,0,107,17,True,100
R013,ChatGPT,T5,rep1,94661,False,ok,107,0,107,17,True,100
R014,Claude,T5,rep1,62386,False,ok,107,0,107,17,True,100
R016,Gemini,T5,rep1,87437,False,ok,107,0,107,17,True,100
R017,Claude,T4,rep1,72431,False,ok,111,17,111,17,True,100
R018,ChatGPT,T4,rep1,82033,False,ok,111,17,111,17,True,100
R020,Gemini,T4,rep1,75892,False,ok,111,17,111,17,True,100
R021,Gemini,T3,rep1,25500,False,ok,0,17,112,17,True,100
R022,ChatGPT,T3,rep1,15133,False,ok,0,17,112,17,True,100
R024,Claude,T3,rep1,14778,False,ok,0,17,112,17,True,100
R025,ChatGPT,T2,rep3,112643,False,ok,248,33,248,33,True,100
R026,Gemini,T2,rep3,7476,False,ok,9,1,248,33,True,4
R027,Claude,T2,rep3,102352,False,ok,248,33,248,33,True,100
R029,Claude,T6,rep2,43416,False,ok,0,33,212,33,True,100
R030,ChatGPT,T6,rep2,32087,False,ok,0,33,212,33,True,100
R031,Gemini,T6,rep2,44182,False,ok,0,33,212,33,True,100
R033,ChatGPT,T3,rep3,16979,False,ok,0,17,112,17,True,100
R034,Claude,T3,rep3,21212,False,ok,0,17,112,17,True,100
R035,Gemini,T3,rep3,18245,False,ok,0,17,112,17,True,100
R037,Gemini,T6,rep1,34038,False,ok,0,33,212,33,True,100
R038,Claude,T6,rep1,126493,False,ok,0,49,212,33,True,148
R040,ChatGPT,T6,rep1,50922,False,ok,0,33,212,33,True,100
R041,ChatGPT,T4,rep3,86491,False,ok,111,17,111,17,True,100
R042,Claude,T4,rep3,102017,False,ok,111,17,111,17,True,100
R043,Gemini,T4,rep3,75841,False,ok,111,0,111,17,True,100
R046,Gemini,T4,rep2,99029,False,ok,111,0,111,17,True,100
R047,ChatGPT,T4,rep2,84387,False,ok,111,0,111,17,True,100
R048,Claude,T4,rep2,25525,False,ok,35,0,111,17,True,32
R049,Gemini,T3,rep2,16981,False,ok,0,17,112,17,True,100
R050,Claude,T3,rep2,20417,False,ok,0,17,112,17,True,100
R051,ChatGPT,T3,rep2,13849,False,ok,0,17,112,17,True,100
R053,ChatGPT,T1,rep2,142120,False,ok,219,33,219,33,True,100
R054,Claude,T1,rep2,167098,False,ok,219,33,219,33,True,100
R055,Gemini,T1,rep2,196091,False,ok,219,33,219,33,True,100
R057,Claude,T2,rep2,126757,False,ok,248,33,248,33,True,100
R058,ChatGPT,T2,rep2,137728,False,ok,248,34,248,33,True,100
R060,Gemini,T2,rep2,108521,False,ok,248,0,248,33,True,100
R061,Gemini,T5,rep3,74199,False,ok,107,0,107,17,True,100
R062,Claude,T5,rep3,51201,False,ok,107,0,107,17,True,100
R063,ChatGPT,T5,rep3,81005,False,ok,107,0,107,17,True,100
R065,Claude,T1,rep1,146678,False,ok,219,33,219,33,True,100
R067,ChatGPT,T1,rep1,125656,False,ok,219,33,219,33,True,100
R068,Gemini,T1,rep1,82406,False,ok,219,33,219,33,True,100
R069,Gemini,T1,rep3,156890,False,ok,219,33,219,33,True,100
R071,Claude,T1,rep3,156226,False,ok,219,33,219,33,True,100
R072,ChatGPT,T1,rep3,132696,False,ok,219,33,219,33,True,100
