วิธีคิด

ผมอ่านเอกสารทั้งหมด 33 ฉบับ (รหัส D034–D066) แล้วดึงกิจกรรมออกมาเป็นรายการ โดยยึดหลักดังนี้

1. ฟิลด์ "เหตุผล" — ตรวจสอบทุกเอกสารแล้วพบว่าไม่มีคอลัมน์หรือข้อความใดที่ระบุ "เหตุผล" ของกิจกรรมไว้เลยแม้แต่ฉบับเดียว (มีแต่ ชื่อกิจกรรม, หน่วยงาน, งบ, จำนวนผู้เข้าร่วม, กลุ่มเป้าหมาย, สถานะ, หมายเหตุ) จึงระบุ "ไม่มีข้อมูล" ในทุกรายการตามกติกาข้อ 4 ที่ให้ระบุแบบนี้เมื่อไม่ปรากฏข้อมูล ไม่มีการคาดเดา

2. หน่วยงานรับผิดชอบ — หลายเอกสารเขียนชื่อหน่วยงานเดียวกันด้วยตัวย่อสลับกับชื่อเต็ม (เช่น "อบต.ท่าข้าม" กับ "องค์การบริหารส่วนตำบลท่าข้าม", "สนงเกษตรอำเภอปาย" ไม่มีจุด, "พมจสตูล" ไม่มีจุด) ผมจึงรวมชื่อที่สื่อถึงหน่วยงานเดียวกันภายในเอกสารเดียวกันให้เป็นชื่อเดียว (เลือกใช้รูปแบบชื่อที่ยาว/สมบูรณ์ที่สุดที่ปรากฏ) ก่อนคำนวณสัดส่วนร้อยละ เพื่อไม่ให้สัดส่วนงบผิดเพี้ยนจากการเขียนชื่อไม่ตรงกัน

3. หน่วยเงิน — เอกสาร D034–D048 และ D064–D066 ใช้หน่วยบาทตลอดทั้งตาราง แต่เอกสาร D049–D063 มีหมายเหตุระบุว่า "ตัวเลขในส่วนที่ 2 แสดงในหน่วยพันบาท" หรือข้อความทำนองเดียวกัน (เช่น ระบุเจาะจงว่ารายการของหน่วยงานใดหน่วยงานหนึ่งรายงานเป็นพันบาท) ซึ่งจากการตรวจสอบพบว่าใช้กับแถวส่วนท้ายของตาราง (หน่วยงานที่สองที่ปรากฏในเอกสาร ซึ่งมีตัวเลขหลักน้อยผิดปกติ) ผมจึงคูณตัวเลขงบจัดสรรและเบิกจ่ายของแถวเหล่านั้นด้วย 1,000 ก่อนนำไปรวมและคำนวณสัดส่วน เพื่อให้หน่วยตรงกันทั้งตาราง

4. การคำนวณสรุปรายเอกสาร — จำนวนกิจกรรม = จำนวนแถว (นับตามรหัสกิจกรรม ไม่ตัดรายการซ้ำ เพราะโจทย์ให้ "หนึ่งรายการต่อหนึ่งกิจกรรม"); ยอดเบิกจ่ายจริงรวม = ผลรวมเบิกจ่ายทุกกิจกรรมในเอกสารนั้น (หลังแปลงหน่วยแล้ว); สัดส่วนร้อยละของแต่ละหน่วยงาน = ยอดเบิกจ่ายของหน่วยงานนั้น ÷ ยอดรวมของเอกสาร × 100 ปัดสองตำแหน่งทศนิยม ผมตรวจสอบแล้วว่าผลรวมสัดส่วนของแต่ละเอกสารเท่ากับ 100% ครบทุกฉบับ

ผลลัพธ์มีทั้งหมด 248 กิจกรรมจาก 33 เอกสาร ปิดท้ายด้วย JSON บล็อกเดียวตามที่กำหนด

{
  "รายการกิจกรรม": [
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D034","รหัสกิจกรรม":"2568-สธ-736","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลท่าข้าม","งบจัดสรรบาท":111500,"เบิกจ่ายบาท":94000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D034","รหัสกิจกรรม":"2568-ศษ-878","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลท่าข้าม","งบจัดสรรบาท":186500,"เบิกจ่ายบาท":165500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D034","รหัสกิจกรรม":"2568-สธ-021","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลท่าข้าม","งบจัดสรรบาท":833500,"เบิกจ่ายบาท":513000},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D034","รหัสกิจกรรม":"2568-สค-813","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลท่าข้าม","งบจัดสรรบาท":206500,"เบิกจ่ายบาท":189500},
    {"เหตุผล":"ไม่มีข้อมูล","รหัสเอกสาร":"D034","รหัสกิจกรรม":"2568-สค-308","หน่วยงานรับผิดชอบ":"องค์การบริหารส่วนตำบลท่าข้าม","งบจัดสรรบาท":27500,"เบิกจ่ายบาท":27000},
